operator,instance,run,best_cost,gap_percent,iterations,elapsed_seconds
inversion,bur26c,0,5481310,1.0045524107691557,1000,0.47239737800009607
inversion,bur26c,1,5452979,0.4824947321577469,1000,0.42833738000013
inversion,bur26c,2,5459573,0.6040029151644756,1000,0.45225737300006585
inversion,bur26c,3,5528352,1.871399232880549,1000,0.4278307190002124
inversion,bur26c,4,5459305,0.5990644570137623,1000,0.4449908009999035
inversion,bur26c,5,5492677,1.2140130592734755,1000,0.4202153889998499
inversion,bur26c,6,5474299,0.8753601342965784,1000,0.4338055919999988
inversion,esc32h,0,480,9.58904109589041,1000,1.5617450199999894
inversion,esc32h,1,472,7.76255707762557,1000,1.3720377320000807
inversion,esc32h,2,476,8.67579908675799,1000,1.3627347350000036
inversion,esc32h,3,496,13.24200913242009,1000,1.4116871070000343
inversion,esc32h,4,482,10.045662100456621,1000,1.0094748259998596
inversion,esc32h,5,452,3.1963470319634704,1000,0.8474905279999803
inversion,esc32h,6,446,1.82648401826484,1000,0.8419073390000449
inversion,esc64a,0,122,5.172413793103448,1000,12.255123152999886
inversion,esc64a,1,136,17.24137931034483,1000,10.545687040000075
inversion,esc64a,2,116,0.0,1000,11.900335037000104
inversion,esc64a,3,118,1.7241379310344827,1000,12.088307494999981
inversion,esc64a,4,116,0.0,1000,12.40229598499991
inversion,esc64a,5,116,0.0,1000,12.805451451999943
inversion,esc64a,6,128,10.344827586206897,1000,13.755895451000015
inversion,lipa60a,0,108520,1.2143483370329609,1000,8.494413440000017
inversion,lipa60a,1,108681,1.3645096905370366,1000,9.795699538000008
inversion,lipa60a,2,108636,1.3225391258930403,1000,8.461596251999936
inversion,lipa60a,3,108652,1.3374619933220169,1000,9.190679735000003
inversion,lipa60a,4,108620,1.3076162584640638,1000,9.946705837999843
inversion,lipa60a,5,108646,1.3318659180361507,1000,7.9588948580001215
inversion,lipa60a,6,108627,1.3141450129642411,1000,9.686952636000115
inversion,tai80a,0,14424064,6.8513770906448865,1000,29.25468882799987
inversion,tai80a,1,14385094,6.562692974627208,1000,28.87564755099993
inversion,tai80a,2,14375024,6.488095873054253,1000,28.689330461000054
inversion,tai80a,3,14389438,6.594872697490456,1000,28.00200232499992
inversion,tai80a,4,14379554,6.521653456979326,1000,27.113478054000097
inversion,tai80a,5,14354104,6.333123542874889,1000,26.755817216999958
inversion,tai80a,6,14397792,6.656757919589806,1000,27.571542762000036
inversion,tai80b,0,985500905,20.415785783644253,1000,27.891524379999964
inversion,tai80b,1,945527970,15.531597089668841,1000,28.018310602999918
inversion,tai80b,2,968203285,18.302234701226038,1000,27.61412925899981
inversion,tai80b,3,967164028,18.17525059836907,1000,27.478458320000072
inversion,tai80b,4,969073690,18.408587218502532,1000,27.580108868000025
inversion,tai80b,5,972961327,18.883607446106048,1000,26.95806558000004
inversion,tai80b,6,969674206,18.481962702633265,1000,26.69247514699987
